type,item,meaning,example
,杳藹,1.茂盛貌。  ; 2.幽深渺茫貌。  ; 3.雲霧飄緲貌。  ,  漢 陳琳 《柳賦》： “蔚曇曇其杳藹， 象翠蓋之葳蕤。” ;   唐 韋應物 《西郊游矚》詩： “煙芳何處尋？杳藹春山曲。” ;   唐 韓翃 《題薦福寺衡岳暕師房》詩： “晚送門人出， 鐘聲杳靄間。” 
,松棚,2.蓬亂貌。  ,  明 沈鯨 《雙珠記‧纊衣寄詩》： “粗疏鬢髮亂松棚， 面皮爛焦千層餅。”
,枉,2.通“ 狂 ”。 亂貌。 參見“ 枉粧 ”、“ 枉攘 ”。,NA
,枒槎,2.紛錯歧出貌。  ,《西游記》第二八回： “兩個拳頭， 和尚缽盂模樣；一雙藍腳， 懸崖榾柮枒槎。”
,林,5.眾多貌。  ,《莊子‧天運》： “故若混逐叢生， 林樂而無形。” 
,林岑,1.險峻貌。 ,NA
,林離,1.不絕貌；眾盛貌。 ,  漢 司馬相如 《大人賦》： “滂濞泱軋， 灑以林離。” 
,果然,1.飽足貌；隆起貌。 ,《莊子‧逍遙游》： “適莽蒼者， 三飧而反， 腹猶果然。” 
,枵然,1.虛大貌。 ; 2.空虛貌。  ; 3.腹空饑餓貌。  ,《文選‧謝靈運＜永初三年七月十六日之郡初發都＞詩》“空班 趙氏 璧， 徒乖 魏王 瓠” 李善 注引《莊子》： “ 魏王 貽我大瓠之種， 我樹之成， 而實五石， 以盛水漿， 其堅不自舉， 剖之以為瓢， 則瓠落無所容， 非不枵然大也， 吾為其無用， 掊之。”按， 今本《莊子‧逍遙游》枵， 作“呺”。  ;   唐 劉禹錫 《猶子蔚適越戒》： “若知彝器乎？始乎斲輪， 因入規矩， 刳中廉外， 枵然而有容者。” ;   宋 蘇軾 《送筍芍藥與公擇》詩之一： “久客厭虜饌， 枵然思南烹。” 
,柴立,2.瘦瘠貌。  ,  宋 洪邁 《夷堅丙志‧吳仲權郎中》： “平日嗜酒， 膳食盡廢， 清瘦柴立， 而精明殊不衰。” 
,栗然,1.堅實密緻貌。 ; 2.恐懼貌， 瑟縮貌。 栗， 通“ 慄 ”。  ,  明 方孝孺 《送李生序》： “摩其外， 輝然而溫， 栗然而潤， 人雖賤之， 吾必以為良玉矣。” ;   魯迅 《墳‧文化偏至論》： “全 歐 人士， 為之栗然震驚者有之， 芒然自失者有之。” 
,格狀,1.體格品貌。 ,  唐 司空圖 《書屏記》： “人之格狀或峻， 其心必勁， 心之勁， 則視其筆跡， 亦足見其人矣。” 
,桀然,1.高聳貌。 ; 2.傑出貌。  ,《三國志‧吳志‧胡綜傳》： “四靈既布， 黃龍處中， 周製日月， 實曰太常， 桀然特立， 六軍所望。” ; 《續資治通鑒‧宋神宗熙寧十年》： “彼皆才氣桀然過人， 任使稱意。”
,桃花,2.形容女子容貌。  ,  唐 溫庭筠 《照影曲》： “桃花百媚如欲語， 曾為無雙今兩身。” 
,桃花面,2.泛指美人容貌。  ,  前蜀 韋莊 《女冠子》詞之二： “依舊桃花面， 頻低柳葉眉。” 
,桐,1.輕脫貌。  ,《漢書‧廣陵厲王劉胥傳》： “毋桐好逸。” 
,梅,7.悲酸貌。 參見“ 梅目 ”。  ,NA
,條條,2.暢達貌。  ,  漢 董仲舒 《春秋繁露‧奉本》： “其基壤之所加， 潤澤之所被， 條條無疆。” 
,條達,3.行疾貌。  ; 4.斷續分散貌。  ,《尚書大傳》卷三“晦而月見西方謂之朓” 漢 鄭玄 注： “朓， 條也。 條達， 行疾貌。” ; 《孫子‧行軍》： “塵高而銳者， 車來也；卑而廣者， 徒來也；散而條達者， 樵采也；少而往來者， 營軍也。” 
,梴,1.木長貌。  ,《詩‧商頌‧殷武》： “松桷有梴， 旅楹有閑。” 
,梴梴,1.木長貌。 ; 2.綿長貌。  ,  唐 元結 《演興‧訟木魅》詩： “將封灌乎善木， 令橚橚以梴梴。” ;   宋 王安石 《故樂安郡君翟氏墓志銘》： “梴梴中丘， 萬木如茨， 往從舅姑， 協我初龜。”
,森,1.樹木高聳繁密貌。  ; 2.眾多貌， 眾盛貌。  ; 7.陰沉幽暗貌。  ,  南朝 宋 謝靈運 《廬陵王墓下作》詩： “徂謝易永久， 松柏森已行。” ; 《後漢書‧張衡傳》： “百神森其備從兮， 屯騎羅而星布。” ;   唐 顧況 《游子吟》： “泬寥群動異， 眇默諸境森。” 
,森然,1.茂密貌；豐厚貌。 ; 2.眾多貌。  ; 3.盛貌。  ; 4.聳立貌。  ; 5.陰森貌。  ; 6.因驚恐而毛髮聳立貌。  ; 7.陰冷貌。  ; 8.嚴整貌。  ,  南朝 齊 王琰 《冥祥記》： “道路修平， 而兩邊棘刺森然， 略不容足。” ; 《南齊書‧陳顯達傳》： “忠黨有心， 節義難遣， 信次之間， 森然十萬。” ;   宋 周密 《志雅堂雜鈔‧圖畫碑帖續鈔》： “誰將九色借吳綾， 神采森然動毫末。” ;   晉 郭璞 《山海經圖贊‧桂》： “氣王百藥， 森然雲挺。” ; 《太平廣記》卷二○四引 唐 盧□ 《逸史‧李謨》： “ 李生 捧笛， 其聲始發之後， 昏曀齊開， 水木森然， 仿佛如有鬼神之來。” ; 《紅樓夢》第一○一回： “ 鳳姐 剛舉步走了不遠， 只覺身後‘咈咈哧哧’， 似有聞嗅之聲， 不覺頭髮森然直豎起來。” ;   清 紀昀 《閱微草堂筆記‧灤陽消夏錄五》： “室無纖塵， 惟坐久覺陰氣森然。” ;   唐 白行簡 《三夢記》： “嘗因晝寢， 夢至一處， 朱門大戶， 棨戟森然。” 
,棱棱,1.寒冷貌。 ; 4.威嚴方正貌。  ,  南朝 宋 鮑照 《蕪城賦》： “棱棱霜氣， 蔌蔌風威。” ;   明 郭登 《送岳季方還京》詩： “君歸復喜登臺閣， 風裁棱棱尚如昨。” 
,棻,2.通“ 紛 ”。 茂盛貌。  ,《後漢書‧班彪傳上》： “五穀垂穎， 桑麻敷棻。” 
,棼,3.眾多錯雜貌。  ,  宋 無名氏 《南郊恭謝‧導引》詞： “林棼彩仗明初日， 瑞氣滿晴空。” 
,棼棼,1.擾亂貌。 ; 2.眾多貌。  ,《書‧呂刑》： “民興胥漸， 泯泯棼棼， 罔中于信， 以覆詛盟。” ;   明 宋濂 《燕書》九： “ 腹擊 至 趙 ， 趙 苫成 常與之出遊。 指河山曰： 畛畛乎有截也。 指民物曰： 棼棼眾多也。” 
,椊杌,2.木短出貌。,NA
,楞楞,1.凸起顯露貌。 ,  孫景瑞 《紅旗插上大門島》第二章一： “ 雷大鵬 一見幾年來的老首長， 變成這麼瘦骨楞楞的， 不禁吃了一驚。” 
,概見,2.謂窺見其概貌。  ,  宋 沈作哲 《寓簡》卷九： “凡畫之妙， 欲得其神觀耳， 刻之於石則如影耳， 猶可以概見其髣彿而已。” 
,榛,4.草木叢生貌。 亦以形容荒廢， 衰敗。  ,  宋 蘇舜欽 《杜誼孝子傳》： “為下者不相師友， 而道義榛焉， 所在泯泯， 無所取法。”參見“ 榛草 ”、“ 榛荒 ”、“ 榛榛 ”。
,榮榮,1.植物茂盛貌。 ,  晉 陶潛 《擬古》詩之一： “榮榮窗下蘭， 密密堂前柳。” 
,榻然,1.低矮貌。 ; 2.微弱貌。  ,《釋名‧釋床帳》： “長狹而卑曰榻， 言其體榻然近地也。” ;   唐 元稹 《有鳥》詩之十六： “雄鳴一聲雌鼓翼， 夜不得棲朝不食。 氣息榻然雙翅垂， 猶入籠中就顏色。”
,槃桓,3.廣大貌。  ,  南朝 梁 劉勰 《文心雕龍‧書記》： “觀 史遷 之《報任安》、 東方朔 之《難公孫》……志氣槃桓， 各含殊采。”
,槎牙,1.樹木枝杈歧出貌。  ,  唐 元稹 《寺院新竹》詩： “寶地琉璃坼， 紫苞琅玕踴……槎枒矛戟合， 屹仡龍蛇動。” 
,槭,1.草木凋落貌。  ,《文選‧潘岳〈秋興賦〉》： “庭樹槭以灑落兮， 勁風戾而吹帷。” 
,樅樅,1.隆起貌；高聳貌。 ; 2.排比貌。  ,《詩‧大雅‧靈臺》“虡業維樅” 唐 孔穎達 疏： “ 孫炎 曰： ‘業所以飾栒， 刻板捷業如鋸齒也。 ’其懸鍾磬之處， 又以彩色為大牙， 其狀隆然， 謂之崇牙， 言崇牙之狀樅樅然。” ;   唐 李德裕 《討襲回鶻事宜狀》： “今即取郤公主， 又與 回鶻 接戰， 即須翦除令盡， 不得遺生後患。 兼令揀 退渾 、 沙陀 共三千騎， 樅樅排比。”
,樉,2.樹木茂盛貌。,NA
,樛嶱,1.廣大貌。 ; 2.高峻貌。  ,  唐 杜甫 《自京赴奉先縣詠懷五百字》： “君臣留懽娛， 樂動殷樛嶱。”一本作“ 膠葛 ”。  ;   清 王士禛 《五丁峽》詩： “始過 金牛驛 ， 樛嶱已凌亂。”
,樛流,1.曲折貌。 ,《漢書‧揚雄傳上》： “覽樛流於 高光 兮， 溶方皇於西清。” 
,樠,2.滲出貌。  ,《莊子‧人間世》： “﹝櫟社樹﹞以為門戶則液樠， 以為柱則蠹。” 
,樸屬,1.附着堅固貌。 ; 2.指附着叢生貌。  ,《周禮‧考工記序》： “凡察車之道， 欲其樸屬而微至；不樸屬無以為完久也， 不微至無以為戚速也。” ; 《詩‧大雅‧棫樸》“芃芃棫樸” 漢 鄭玄 箋： “白桵相樸屬而生者， 枝條芃芃然。”
,樸樕,3.蓬勃茂盛貌。  ,  宋 朱弁 《曲洧舊聞》卷五： “ 東坡 至 儋耳 ， 見野花夾道如芍藥而小， 紅鮮可愛， 樸樕叢生， 土人云‘倒黏子花也’。” 
,橫七豎八,2.縱橫雜亂貌。  ,《水滸傳》第三四回： “一片瓦礫場上， 橫七豎八， 殺死的男子婦人， 不記其數。” 
,橫越,1.山勢挺秀貌。 ,  南朝 宋 謝靈運 《嶺表賦》： “羅石棋布， 怪譎橫越， 非山非阜， 如樓如闕。” 
,檀欒,1.秀美貌。 詩文中多用以形容竹。 ,  漢 枚乘 《梁王菟園賦》： “脩竹檀欒， 夾池水， 旋菟園， 並馳道。” 
,檹,1.樹木柔曲不正貌。  ; 3.樹木修長貌。,NA; NA
,櫮,1.花盛貌。  ,NA
,櫹槮,1.花葉已落， 莖獨立貌。 ; 2.草木茂盛貌。  ,《楚辭‧九辯》： “萷櫹槮之可哀兮， 形銷鑠而瘀傷。” ; 《文選‧張衡＜西京賦＞》： “鬱蓊薆薱， 橚爽櫹槮。” 
,欣欣向榮,1.草木生長茂盛貌。 ,  晉 陶潛 《歸去來辭》： “木欣欣以向榮， 泉涓涓而始流。” 
,欨,2.笑貌。 參見“ 欨愉 ”。,NA
,欲,9.婉順貌。  ,《禮記‧祭義》： “其立之也敬以詘， 其進之也敬以愉， 其薦之也敬以欲。” 
,欹側,2.歪倒搖晃貌。  ,  唐 杜甫 《瘦馬行》： “絆之欲動轉欹側， 此豈有意仍騰驤。” 
,欹危,1.傾斜危險貌；傾斜欲墜貌。 ; 2.歪斜不平貌。  ,  宋 陸游 《永秋》詩： “小彴欹危度， 鄰園曲折通。” ;   唐 杜甫 《江畔獨步尋花》詩之二： “稠花亂蕊裹江濱， 行步欹危實怕春。” 
,欺,7.醜貌。,NA
,欻,2.輕舉貌。  ; 3.動貌。 參見“ 欻欻 ”。  ,《文選‧張衡〈思玄賦〉》： “欻神化而蟬蛻兮， 朋精粹而為徒。”舊注： “欻， 輕舉貌。”一說， 疾貌。  ; II
,欽,7.曲貌。 參見“ 欽頤 ”。  ,NA
,款段,1.馬行遲緩貌。 ,《後漢書‧馬援傳》： “士生一世， 但取衣食裁足， 乘下澤車， 御款段馬……斯可矣。” 
,款緩,1.徐行貌。 ,  唐 元稹 《野節鞭》詩： “春來信馬頭， 款緩花前轡。” 
,欿,2.憂愁貌。  ,《楚辭‧嚴忌〈哀時命〉》： “欿愁悴而委惰兮， 老冉冉而逮之。” 
,欿欿,2.不自滿足貌。  ,  清 劉大櫆 《與李侍郎書》： “天子之毗縉紳大夫之師， 而樂善無窮， 謙謙焉， 欿欿焉， 常若有所不足。”
,歊,1.氣蒸發貌。  ,《文選‧班固〈東都賦〉》： “嶽脩貢兮川效珍， 吐金景兮歊浮雲。” 
,歊烝,1.氣升騰貌。  ,《漢書‧揚雄傳下》： “ 泰山 之高不嶕嶢， 則不能浡滃雲而散歊烝。” 
,歙然,1.聚集貌。 ; 2.和洽貌；安定貌。  ,《荀子‧非十二子》“斂然聖王之文章具焉” 王先謙 集解引 清 王引之 曰： “古無以斂然二字連文者。 斂當為歙字之誤也；歙然者， 聚集之貌。” ; 《漢書‧韓延壽傳》： “郡中歙然， 莫不相敕厲。” 
,歜,1.盛氣怒貌。  ,《說文‧欠部》： “歜， 盛氣怒也。” 
,正正,1.整齊貌。 ,《孫子‧軍爭》： “無邀正正之旗， 勿擊堂堂之陳。” 
,歷歷落落,1.清晰貌。 ; 2.零亂不絕貌。  ,《朱子語類》卷一一五： “為學須是裂破藩籬， 痛底做去， 所謂一杖一條痕， 一摑一掌血， 使之歷歷落落， 分明開去， 莫要含糊。” ;   茅盾 《歸途雜拾》五： “船夫們往來上下歷歷落落若甚雜亂。” 
,歷落,1.疏落參差貌。 ,  北魏 酈道元 《水經注‧河水四》： “輕崖秀舉， 百有餘丈。 峰次青松， 巖懸赬石， 于中歷落有翠柏生焉。” 
,殷然,1.充裕貌。 ; 2.憂傷貌。  ; 3.自足貌。  ; 4.情義深厚貌。  ,《管子‧輕重丁》： “行令未能一歲， 而郊之民殷然益富。” ;   唐 劉禹錫 《和牛相公感傷》： “坐鎮清朝獨殷然， 閒徵故事數前賢。” ;   康有為 《大同書》甲部第一章： “其貧者架草為棚， 編草為裳， 日得數錢， 食餑餑數枚， 殷然果腹， 臥草終日， 陶然復為夫婦之懽矣。” ; 《“五四”愛國運動資料‧南京學生罷課宣言書》： “密約曷為而締結？由於諸賊賣國， 此 北京 學生所以有‘五四’之憤擊也。 乃政府於 曹 張 諸賊， 則殷然留之， 且為之辯護也。” 
,殷轔,1.多盛貌， 繁盛貌。 ,《文選‧揚雄＜甘泉賦＞》： “八神奔而警蹕兮， 振殷轔而軍裝。” 
,殺,3.枯乾貌。  ,《史記‧扁鵲倉公列傳》： “故傷脾之色也， 望之殺然黃， 察之如死青之茲。”
,殼殼,1.誠篤貌。 ; 2.中空貌。  ,  前蜀 貫休 《送僧歸南康》詩： “殼殼學得律， 還鄉見苦情。” ;   晉 皇甫謐 《針灸甲乙經‧八水》： “膚脹者， 寒氣客於皮膚之間， 殼殼然不堅。” 
,毀容,2.泛稱憔悴困頓的外貌。  ; 4.毀壞容貌。,  宋 葉適 《＜謝景思集＞序》： “﹝ 景思 ﹞艱難時， 往來 青城 ， 毀容敗服。” ; NA
,每,1.草盛貌。 參見“ 每每 ”。  ,NA
,每每,1.草盛貌。 ,《左傳‧僖公二十八年》： “聽輿人之誦曰： ‘原田每每， 舍其舊而新是謀。 ’” 杜預 注： “喻 晉 軍美盛， 若原田之草每每然。” 
,毖,5.通“ 泌 ”。 泉水流貌。  ,《詩‧邶風‧泉水》： “毖彼泉水， 亦流于 淇 。” 
,毛骨,2.謂人的骨相容貌。  ,  南朝 宋 劉義慶 《世說新語‧賞譽下》： “ 祖士少 風領毛骨， 恐沒世不復見如此人。” 
,毣毣,1.蒙昧貌。 一說， 謹願貌。 ; 2.思念貌。  ; 3.風拂動貌。 舊題 唐 柳宗元 《龍城錄‧上帝追攝王遠知＜易總＞》： “舟回如飛羽， 但覺風毣毣而過， 明日至 登州 。”,《漢書‧鮑宣傳》： “願賜數刻之間， 極竭毣毣之思， 退入三泉， 死亡所恨。” ;   宋 文天祥 《回吳直閣書》： “望履非遙， 臨風毣毣。” ; NA
,毨,1.鳥獸毛羽更生整齊貌。  ,《書‧堯典》： “宵中， 星虛， 以殷仲秋， 厥民夷， 鳥獸毛毨。” 
,毰毢,1.毰毸。 鳥羽張開貌。 ; 2.毰毸。 鳳飛舞貌。,NA; NA
,毰毸,1.鳥羽張開貌。 ; 2.披拂貌。  ; 3.飛舞貌。  ,  清 黃景仁 《題馬氏齋頭秋鷹圖》詩： “仰天大笑纓索絕， 毰毸斗大盤高城。” ;   宋 曾鞏 《不飲酒》詩： “況從多病久衰耗， 自顧白髮垂毰毸。” ;   宋 王安石 《集禧觀池上詠野鵝》： “池上野鵝無數好， 晴天鏡裏雪毰毸。”
,毸,1.鳥張羽貌。  ,  明 袁宏道 《賦得野竹上青霄拈三江韻》： “鸞毸拔地洗， 龍羽撲天降。” 
,氣候,6.指人的神態風貌。  ,《三國志‧吳志‧朱然傳》： “ 然 長不盈七尺， 氣候分明， 內行脩絜， 其所文采， 惟施軍器， 餘皆質素。” 
,氣勃勃,1.意氣盛貌。 ,  元 無名氏 《連環計》第一摺： “做官時都氣勃勃待超前；立功處早退怯怯甘居後。” 
,氣品,2.指人的氣派和品貌。  ,《天雨花》第一回： “婆婆聽了， 吐舌驚張道： ‘原來是督爺家的公子， 怪道氣品不同。 ’”
,氣貌,1.謂描述氣勢、形貌。 ; 2.氣度， 風貌。  ,  南朝 梁 劉勰 《文心雕龍‧誇飾》： “氣貌山海， 體勢宮殿， 嵯峨揭業， 熠燿焜煌之狀， 光采煒煒而欲然， 聲貌岌岌其將動矣。” ;   唐 李華 《元魯山墓碣銘》： “神體和， 氣貌融， 視色至教， 不言而信。” 
,氣體,2.指人的氣質和形貌。  ,《西游記》第三九回： “妖魔變作我師， 氣體相同， 實難辨認。” 
,氳,3.發怒貌。  ,  元 王實甫 《西廂記》第二本第一摺： “往常但見一箇外人， 氳得早嗔， 但見一箇客人， 厭得倒褪。” 
,氳氳,1.氣盛貌。 ; 2.指瀰漫充滿貌。  ; 3.沉鬱貌。  ,  唐 孟郊 《寒溪》詩之六： “皎皎何皎皎， 氳氳復氳氳。 瑞晴刷日月， 高碧開星辰。” ;   唐 韓偓 《春閨》詩之二： “氳氳帳裏香， 薄薄睡時粧。” ;   唐 李白 《惜餘春賦》： “恨無極兮心氳氳， 目眇眇兮夏紛紛。” 
,水汪汪,1.水多貌。 ,《太平天國故事歌謠選‧隨天軍》： “太陽天邊挂， 田裏水汪汪。 五穀都豐登， 天軍日月長。” 
,汀瀅,2.水清澈貌。,NA
,汍,2.水流貌。 參見“ 汍波 ”。,NA
,汕,1.魚游水貌。 參見“ 汕汕 ”。  ,NA
,汦,2.整齊貌。 參見“ 汦汦 ”。,NA
,汩,2.光潔貌。  ,《文選‧王延壽〈魯靈光殿賦〉》： “汩磑磑以璀璨， 赫燡燡而燭坤。” 
,汪然,1.深廣貌。 ,《淮南子‧俶真訓》： “天地未剖， 陰陽未判， 四時未分， 萬物未生， 汪然平靜， 寂然清澄。” 
,決然,1.堅決果斷貌。 ,  唐 吳融 《閿鄉寓居》詩之一： “六載抽毫侍禁闈， 可堪多病決然歸。” 
,沃,9.光澤柔潤貌。  ; 10.馴順貌。 參見“ 沃若 ”。  ; 11.盛多貌。  ,《詩‧小雅‧隰桑》： “隰桑有阿， 其葉有沃。” ; NA;   唐 韓愈 《答李翊書》： “根之茂者其實遂， 膏之沃者其光曄。” 
,沃然,1.受啟發而領悟貌。 ; 2.肥美貌。  ,  宋 蘇舜欽 《滄浪亭記》： “予既廢而獲斯境， 安于沖曠， 不與眾驅， 因之復能見之乎內外失得之原， 沃然有得， 笑傲萬古。” ;   宋 梅堯臣 《和謝舍人洊震》： “沃然原隰洗妖氣， 浩爾溝瀆揚平流。”
,沃若,1.潤澤貌。 ; 2.馴順貌。  ,《詩‧衛風‧氓》： “桑之未落， 其葉沃若。” ; 《詩‧小雅‧皇皇者華》： “我馬維駱， 六轡沃若。” 
